Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2024-11-27, 11:01:40",400.0,25.5,26.92,-10200.0,-2.200928,10202.200928,0.0,568.0,O,2024-11-27,84.41,1.3434,2152.455,34.256699999999995,26.920000076293945
Trades,Data,Order,Stocks,USD,MARA,"2024-11-27, 11:22:00",-400.0,25.7,26.92,10280.0,-2.58480856,-10002.200928,275.214264,-488.0,C;P,2024-11-27,84.41,1.3434,2169.337,34.52538,26.920000076293945
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 10:00:19",400.0,26.12,25.63,-10448.0,-2.211392,10450.211392,0.0,-196.0,IM;O;P,2024-12-02,84.71,1.3456,2212.6252,35.147072,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 10:21:56",-400.0,26.4,25.63,10560.0,-2.59329312,-10202.200928,355.205779,308.0,C;P,2024-12-02,84.71,1.3456,2236.3439999999996,35.52383999999999,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 10:49:03",400.0,26.0,25.63,-10400.0,-2.200928,10402.200928,0.0,-148.0,O,2024-12-02,84.71,1.3456,2202.46,34.9856,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 10:51:24",-400.0,26.22,25.63,10488.0,-2.59111138,-10450.211392,35.197496,236.0,C,2024-12-02,84.71,1.3456,2221.0962,35.281631999999995,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-12-02, 13:29:34",400.0,25.0,25.63,-10000.0,-2.200928,10002.200928,0.0,252.0,O,2024-12-02,84.71,1.3456,2117.75,33.64,25.6299991607666
